x,y,z,resistivity,chargeability
511160,459251,578,278.55,17.85
510671,459171,585,677.58,19.76
509799,459398,602,111.35,18.64
511018,459062,580,503.47,17.99
511159,459100,578,1022.82,17.19
511013,458849,567,446.31,11.24
511018,459062,580,571.94,13.28
510620,459110,589,160.1,20.85
510721,459023,578,802.84,18.17
510013,459150,592,808.45,15.49
509925,459165,583,512.25,13.91
510170,459090,601,129.65,18.21
511018,459062,580,457.03,11.32
510719,459039,575,195.6,25.61
511008,459250,588,308.3,11.58
510220,459188,596,214.6,22.26
511013,459451,592,1284.52,15.58
509992,459600,612,190.83,20.07
511135,458951,569,523.42,17.75
510070,459110,591,49.58,31.47
510070,459090,607,75.05,19.83
509992,459199,594,558.47,15.34
511158,459401,586,989.07,18.41
509899,459397,599,157.36,18.2
511010,458900,569,750.87,11.45
510020,459090,632,381.47,15.49
510020,459110,587,58.25,7.16
510171,459191,594,120.48,17.44
511161,458900,573,879.81,17.45
510050,459398,608,2091.64,18.67
510470,459110,598,276.53,21.88
510570,459090,595,339.81,22.87
510122,459191,595,313.29,20.76
510070,459090,607,154.79,21.27
511157,459351,587,1079.86,16.93
510668,459038,577,284.45,13.93
510000,459398,610,358.06,16.32
509824,459167,594,62.09,16.07
509992,459199,594,202.74,15.12
510012,459350,604,1050.52,16.56
509650,459454,604,189.97,14.92
509988,459150,590,151.16,10.86
509820,459090,652,208.16,19.09
509775,459194,600,60.15,22.92
510000,459442,610,218.44,5.49
509992,459600,612,247.6,18.18
511021,458749,564,1092.21,15.02
511161,458900,573,403.83,12.23
510220,459170,596,172.52,11.3
509767,459169,595,59.02,17.45
510872,459059,578,732.01,18.51
511125,459201,579,1536.83,15.62
510020,459090,632,69.6,18.75
510020,459090,632,180.8,19.22
510012,459350,604,527.56,13.44
509600,459458,609,43.64,18.4
510870,459035,578,963.44,8.74
511159,459151,578,470.69,19.55
511011,458949,574,693.98,10.64
510122,459191,595,130.21,22.06
511020,459042,577,519.93,13.5
511070,459019,576,349.42,13.18
510370,459090,601,267.23,24.15
511270,459019,569,875.34,13.14
510670,459057,581,594.03,16.64
511020,459017,576,580.28,16.43
510070,459110,591,20.73,17.34
509875,459190,595,49.32,8.62
509800,459444,604,98.74,20.78
511020,459017,576,1233.58,15.0
511021,458749,564,1259.43,13.99
510010,459700,613,46.98,19.67
510870,459035,578,659.89,13.05
511010,458997,574,644.87,16.34
510821,459023,568,241.67,17.65
509750,459395,602,85.59,26.84
509875,459190,595,241.83,18.49
511158,459500,590,1046.11,18.38
509767,459169,595,60.96,16.66
510011,459600,611,731.31,15.18
510969,459040,577,496.16,13.23
509920,459110,625,168.9,21.48
510012,459650,610,148.4,23.58
509899,459397,599,173.97,22.48
510011,459600,611,43.63,22.95
510369,459194,599,247.11,17.41
510622,459038,581,312.2,12.69
510670,459057,581,359.75,13.45
509820,459090,652,149.98,12.9
510770,459039,578,338.4,15.87
509770,459110,624,99.06,24.81
510022,459171,591,512.99,14.45
510171,459191,594,296.89,15.02
511125,459503,584,402.35,18.04
509974,459190,595,609.27,14.68
509992,459600,612,733.28,17.18
509988,459150,590,713.5,16.15
511016,459296,594,366.11,10.5
511014,458800,566,895.48,16.45
511016,459050,576,1056.28,17.76
509550,459458,620,121.83,11.03
511160,458851,570,151.13,17.93
509700,459452,605,130.93,14.46
511161,458900,573,404.1,12.28
511018,459062,580,835.46,15.08
509920,459090,636,149.67,25.41
509993,459450,610,386.71,18.1
510772,459060,581,406.75,14.51
509750,459395,602,19.75,1.81
511135,458951,569,753.3,13.82
510220,459188,596,123.74,15.37
511124,459550,585,475.98,17.61
509700,459396,601,90.41,20.42
511129,459001,572,585.33,13.68
510012,459100,590,336.83,15.81
510070,459110,591,257.95,20.77
510012,459350,604,525.63,14.44
509899,459397,599,157.2,19.46
509993,459450,610,541.83,14.22
509992,459100,589,59.46,11.23
510011,459550,610,736.52,14.64
510120,459110,592,98.15,17.48
510011,459600,611,315.12,17.01
510068,459164,593,286.38,18.25
511018,459062,580,539.81,16.67
509950,459441,605,175.14,13.36
511073,459060,579,339.21,15.56
510010,459200,593,781.28,15.63
510470,459090,600,219.59,26.48
509750,459395,602,70.61,16.86
510100,459448,608,1059.0,12.68
510011,459501,610,557.79,2.21
510011,459400,608,359.66,15.62
511070,459019,576,466.89,12.96
510569,459039,586,1337.54,15.93
511157,459650,587,667.83,14.36
510969,459040,577,1177.19,15.8
511159,459100,578,1103.5,18.0
510000,459398,610,257.88,19.72
509820,459090,652,109.0,34.92
510569,459039,586,1596.5,13.95
509799,459398,602,73.95,16.47
511070,459019,576,873.43,17.3
511129,459001,572,908.13,17.12
510022,459171,591,85.69,14.87
511125,459201,579,281.76,13.07
510270,459170,596,225.77,19.84
511010,458997,574,517.26,16.17
509500,459464,607,24.32,19.55
510969,459060,579,952.3,15.7
510571,459054,586,415.61,14.43
510415,459173,593,493.91,18.39
510872,459059,578,486.44,10.76
511170,459037,574,315.69,11.59
509799,459398,602,96.37,26.22
509991,459250,600,205.75,14.25
511161,458900,573,1178.15,10.27
510220,459110,593,74.95,22.52
509850,459400,600,65.52,28.78
510022,459171,591,722.19,18.62
510370,459170,598,212.58,15.57
509875,459190,595,279.58,14.64
510011,459550,610,205.51,19.99
510569,459039,586,321.99,14.34
509750,459447,603,37.69,27.72
510324,459194,599,284.84,19.43
509750,459395,602,105.69,20.34
510676,459019,581,1052.36,17.36
509970,459090,630,134.48,24.03
511161,458900,573,584.21,9.79
509824,459167,594,145.12,14.07
511221,459060,577,923.65,13.93
509992,459199,594,237.92,14.85
509992,459100,589,37.68,9.53
509992,459600,612,190.79,18.61
511320,459021,570,705.41,10.43
510150,459400,603,1045.94,16.22
511123,459050,575,850.31,17.17
510770,459017,575,501.3,14.65
511016,459201,586,679.64,14.45
511016,459050,576,792.84,15.85
511120,459302,580,1003.99,15.28
511221,459060,577,519.65,13.45
510010,459450,609,695.72,27.08
510270,459170,596,222.94,17.04
511158,459550,590,618.12,16.4
510070,459090,607,43.83,17.95
510620,459090,591,123.98,20.4
510420,459110,601,84.53,15.7
510011,459501,610,516.9,14.82
511073,459060,579,567.76,14.2
509899,459397,599,157.01,19.14
510010,459450,609,940.53,15.96
509870,459169,591,163.7,21.09
509870,459169,591,193.96,16.84
510050,459445,611,1093.44,12.23
510021,459192,599,373.92,17.1
510011,459400,608,864.2,15.13
509850,459441,600,156.9,20.85
509988,459150,590,840.63,16.53
511016,459050,576,792.77,15.92
510270,459170,596,253.72,18.06
511125,458850,568,870.65,14.65
510170,459110,593,107.35,15.9
509775,459194,600,60.37,17.79
509920,459110,625,434.21,16.4
510150,459400,603,1393.8,17.87
510668,459038,577,255.26,17.44
510470,459110,598,234.12,22.58
509750,459447,603,111.01,15.12
509823,459192,598,33.99,7.65
509823,459192,598,77.54,14.37
509970,459090,630,368.73,18.97
509974,459190,595,492.77,18.21
510270,459170,596,122.48,17.87
511160,459200,578,848.08,17.46
511320,459021,570,800.0,12.27
510870,459035,578,963.62,8.7
511159,459151,578,325.14,12.41
511020,459042,577,605.54,19.38
509920,459110,625,533.15,13.8
510050,459398,608,458.17,16.53
511160,459251,578,1015.75,17.43
509770,459110,624,84.97,29.22
510320,459090,599,89.8,24.13
509770,459090,658,84.8,23.33
509820,459090,652,63.42,21.87
509986,459300,601,624.86,16.42
511372,459061,573,1009.18,9.83
509990,459350,606,260.81,14.29
510010,459200,593,892.84,14.76
509899,459397,599,207.25,18.88
511020,459042,577,613.88,17.39
509920,459110,625,434.04,16.42
509919,459191,589,665.04,11.93
511018,459353,582,255.7,11.01
