x,y,z,resistivity,chargeability,profil_id
510022,459171,591,157.76,23.59,profil 10
510022,459171,591,121.95,29.93,profil 10
510022,459171,591,85.69,14.87,profil 10
510022,459171,591,512.99,14.45,profil 10
510022,459171,591,535.71,16.14,profil 10
510022,459171,591,719.02,18.59,profil 10
510022,459171,591,497.97,19.89,profil 10
510022,459171,591,321.97,15.4,profil 10
510022,459171,591,235.49,17.91,profil 10
510022,459171,591,167.03,22.42,profil 10
510022,459171,591,157.33,23.35,profil 10
510022,459171,591,120.44,26.09,profil 10
510022,459171,591,86.48,23.81,profil 10
510068,459164,593,307.46,15.95,profil 10
510068,459164,593,606.59,18.27,profil 10
510068,459164,593,540.26,19.49,profil 10
510068,459164,593,303.62,15.86,profil 10
510068,459164,593,286.38,18.25,profil 10
510068,459164,593,225.64,23.08,profil 10
510068,459164,593,199.5,23.6,profil 10
510068,459164,593,148.18,23.9,profil 10
510068,459164,593,116.94,24.56,profil 10
510068,459164,593,73.6,22.73,profil 10
510068,459164,593,307.55,15.94,profil 10
510068,459164,593,606.72,18.27,profil 10
510068,459164,593,540.38,19.53,profil 10
510068,459164,593,303.72,15.73,profil 10
510068,459164,593,286.44,18.5,profil 10
510068,459164,593,225.8,23.59,profil 10
510068,459164,593,199.51,23.26,profil 10
510068,459164,593,148.27,24.43,profil 10
510068,459164,593,117.04,24.8,profil 10
510068,459164,593,73.76,23.03,profil 10
510120,459165,601,300.48,16.41,profil 10
510120,459165,601,427.15,17.89,profil 10
510120,459165,601,269.42,14.95,profil 10
510120,459165,601,265.75,17.52,profil 10
510120,459165,601,229.54,21.87,profil 10
510120,459165,601,210.48,22.14,profil 10
510120,459165,601,160.68,23.07,profil 10
510120,459165,601,133.37,26.65,profil 10
510120,459165,601,79.58,12.93,profil 10
510120,459165,601,300.13,16.45,profil 10
510120,459165,601,426.68,18.02,profil 10
510120,459165,601,269.13,15.09,profil 10
510120,459165,601,265.45,17.56,profil 10
510120,459165,601,229.21,21.83,profil 10
510120,459165,601,209.99,22.68,profil 10
510120,459165,601,160.57,25.18,profil 10
510120,459165,601,133.24,28.38,profil 10
510120,459165,601,79.75,16.08,profil 10
510120,459165,601,74.72,26.09,profil 10
510168,459163,595,300.85,16.07,profil 10
510168,459163,595,211.08,12.57,profil 10
510168,459163,595,242.26,15.09,profil 10
510168,459163,595,207.57,20.0,profil 10
510168,459163,595,200.7,19.74,profil 10
510168,459163,595,159.1,21.54,profil 10
510168,459163,595,132.51,22.87,profil 10
510168,459163,595,85.76,20.72,profil 10
510168,459163,595,78.39,21.34,profil 10
510168,459163,595,85.47,15.73,profil 10
510168,459163,595,300.77,16.08,profil 10
510168,459163,595,211.02,12.66,profil 10
510168,459163,595,242.16,14.91,profil 10
510168,459163,595,207.54,19.73,profil 10
